id,parola_target,parola_vietata1,parola_vietata2,parola_vietata3,parola_vietata4,parola_vietata5
1,INFLUENCER,SOCIAL,INSTAGRAM,FOLLOWER,CONTENUTI,FAMOSO
2,CRUSH,COTTA,AMORE,SEGRETO,INNAMORATO,SENTIMENTO
3,SPOILERARE,ANTICIPARE,FINALE,FILM,SERIE,RIVELARE
4,FLASHARE,RICORDARE,IMPROVVISO,MOMENTO,LAMPO,MENTE
5,SBATTI,FATICA,PROBLEMI,SFORZO,LAVORO,NOIA
6,GAMING,VIDEOGIOCHI,CONSOLE,GIOCARE,PLAYSTATION,COMPUTER
7,MEME,INTERNET,IMMAGINE,RIDERE,VIRALE,BATTUTA
8,GHOSTARE,SPARIRE,RISPONDERE,MESSAGGI,IGNORARE,CHAT
9,CRINGE,IMBARAZZO,VERGOGNA,DISAGIO,BRUTTO,FASTIDIO
10,FLEX,VANTARSI,MOSTRARE,OSTENTARE,RICCHEZZA,ESIBIRE
11,SKIFARE,SALTARE,EVITARE,PASSARE,LEZIONE,SCUOLA
12,BOOMER,VECCHIO,GENERAZIONE,ANZIANO,SUPERATO,TRADIZIONALE
13,SGAMARE,SCOPRIRE,SEGRETO,CATTURARE,VEDERE,SORPRENDERE
14,TRIGGERARE,IRRITARE,PROVOCARE,REAZIONE,SCATENARE,NERVOSO
15,TAMARRATA,ECCESSO,CATTIVO,GUSTO,ESAGERATO,PACCHIANO
16,STORYTELLING,RACCONTARE,STORIA,NARRAZIONE,CONTENUTO,MARKETING
17,HYPE,ASPETTATIVA,ATTESA,ENTUSIASMO,PUBBLICITÀ,USCITA
18,SWAG,STILE,MODA,ATTEGGIAMENTO,COOL,VESTIRE
19,SALTY,ARRABBIATO,GIOCO,PERDERE,AMAREGGIATO,FRUSTRATO
20,DRAMA,LITE,POLEMICA,CONFLITTO,DISCUSSIONE,SCENA
21,FRIENDZONE,AMICIZIA,AMORE,RESPINTO,CONFINE,ZONA
22,SCLERARE,ARRABBIARSI,NERVOSO,IMPAZZIRE,PERDERE,CONTROLLO
23,SPACCARE,SUCCESSO,FORTE,IMPRESSIONARE,POTENTE,RISULTATO
24,TOXIC,NEGATIVO,PERICOLOSO,DANNOSO,RELAZIONE,PERSONA
25,SPOOFING,FINGERE,TELEFONO,IDENTITÀ,TRUFFA,NUMERO
26,MOOD,UMORE,SENTIMENTO,ATMOSFERA,STATO,ANIMO
27,SBROCCARE,ESPLODERE,RABBIA,PAZIENZA,PERDERE,CONTROLLO
28,VIBES,SENSAZIONE,ATMOSFERA,ENERGIA,FEELING,PERCEPIRE
29,OUTFIT,VESTITO,ABBIGLIAMENTO,MODA,INSIEME,LOOK
